player,class,pos,summary,year,school,coach,Player,Class,Pos,Summary,Year,School,Coach
Anthony Joyner,FR,LB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Numi Lolohea,SO,LB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Frank Padilla,SR,LB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
David Quiroga,SO,LB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
B.J. Adolpho,SO,LB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Boyblue Aoelua,JR,LB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
George Callender,FR,DB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Davis Cazares,FR,DB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Jonte Green,JR,DB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Devin Jackson,FR,DB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Darien Johnson,FR,DB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Josh Smith,FR,DB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Justin Smith,FR,DB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Michael Zant,JR,DB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Donyae Coleman,JR,DB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Davon House,SR,DB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Alphonso Powell,SR,DB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Matt Christian,SR,QB,"145 Cmp, 277 Att, 2158 Yds, 15 TD",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Andrew Manley,SO,QB,"62 Cmp, 109 Att, 892 Yds, 6 TD",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Travaughn Colwell,FR,QB,"39 Cmp, 60 Att, 419 Yds, 2 TD",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Kenny Turner,JR,RB,"219 Att, 1074 Yds, 4.9 Avg",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Robert Clay,JR,RB,"42 Att, 133 Yds, 3.2 Avg",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Victor Johnson,JR,RB,"22 Att, 90 Yds, 4.1 Avg",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Brandon Betancourt,FR,RB,"6 Att, 24 Yds, 4.0 Avg",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Todd Lee,SR,WR,"39 Rec, 592 Yds, 15.2 Avg",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Austin Franklin,FR,WR,"34 Rec, 524 Yds, 15.4 Avg",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Taveon Rogers,SR,WR,"59 Rec, 1048 Yds, 17.8 Avg",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Kemonte Bateman,JR,WR,"27 Rec, 422 Yds, 15.6 Avg",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Jerrel Brown,SO,WR,"6 Rec, 79 Yds, 13.2 Avg",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Darrius Preston,JR,WR,"1 Rec, 6 Yds, 6.0 Avg",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Trevor Walls,JR,TE,"11 Rec, 144 Yds, 13.1 Avg",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Andrew Dean,FR,TE,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Jackson Kaka,FR,TE,"14 Rec, 126 Yds, 9.0 Avg",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
David Quiroga,JR,TE,"3 Rec, 29 Yds, 9.7 Avg",2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Maveu Heimuli,JR,OL,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Mike Kaiser,SO,OL,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Aundre McGaskey,SR,OL,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Davonte Wallace,SO,OL,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Dejuan Yates,SR,OL,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Jordan Davenport,SR,K,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Jake Capraro,SO,K,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Tyler Stampler,JR,K,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Mark Brown,FR,DL,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Pierre Fils,SR,DL,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
David Mahoney,SR,DL,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Stephen Meredith,FR,DL,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
David Niumatalolo,SR,DL,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Walton Taumoepeau,JR,DL,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Bryan Bonilla,SO,LB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Dylan Davis,SO,LB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Alexander Lavoy,JR,LB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Numi Lolohea,JR,LB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
B.J. Adolpho,JR,LB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Boyblue Aoelua,SR,LB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Davis Cazares,SO,DB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Jesse Forte,JR,DB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Jeremy Harris,JR,DB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Darien Johnson,SO,DB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
