Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
148,1942,NFL,6,46,WAS,Harley McCollum,T,Tulane,Wally English
149,1942,NFL,6,48,NYG,Bob Glass,B,Tulane,Wally English
150,1942,NFL,12,107,BKN,Jim Thibaut,FB,Tulane,Wally English
151,1941,NFL,6,48,CHI,Tom O'Boyle,G,Tulane,Wally English
152,1940,NFL,2,12,PIT,Ralph Wenzel,E,Tulane,Wally English
153,1940,NFL,3,23,WAS,Burt (Buddy) Banker,B,Tulane,Wally English
154,1940,NFL,5,38,WAS,Bill Kirchem,T,Tulane,Wally English
155,1940,NFL,7,59,GNB,Millard White,T,Tulane,Wally English
156,1939,NFL,8,63,RAM,Warren (Bronco) Brunner,B,Tulane,Wally English
157,1939,NFL,20,190,NYG,Lyle Smith,G,Tulane,Wally English
158,1937,NFL,4,32,CRD,H.K. (Bucky) Bryan,B,Tulane,Wally English
