Player,Pos,Summary,Year
Terry McEwen,QB,"3 Cmp, 3 Att, 32 Yds, 0 TD",1977
Danny Hartwig,QB,"1 Cmp, 2 Att, 9 Yds, 0 TD",1977
Scott Phillips,RB,"47 Att, 325 Yds, 6.9 Avg",1977
Todd Christensen,RB,"79 Att, 290 Yds, 3.7 Avg",1977
Roger Gourley,RB,"76 Att, 294 Yds, 3.9 Avg",1977
Bill Ring,RB,"58 Att, 262 Yds, 4.5 Avg",1977
Casey Wingard,RB,"33 Att, 192 Yds, 5.8 Avg",1977
Scott Reber,RB,"6 Att, 25 Yds, 4.2 Avg",1977
John Van Der Wouden,WR,"43 Rec, 661 Yds, 15.4 Avg",1977
Mike Chronister,WR,"38 Rec, 649 Yds, 17.1 Avg",1977
George Harris,WR,"23 Rec, 313 Yds, 13.6 Avg",1977
Rick Jones,WR,"7 Rec, 69 Yds, 9.9 Avg",1977
Stan Younger,WR,"6 Rec, 74 Yds, 12.3 Avg",1977
Lynn Zwahlen,WR,"5 Rec, 32 Yds, 6.4 Avg",1977
Tod Thompson,TE,"37 Rec, 602 Yds, 16.3 Avg",1977
Rob Anderson,TE,"2 Rec, 16 Yds, 8.0 Avg",1977
Calvin Close,OL,,1977
Tom Miller,OL,,1977
Lance Reynolds,OL,,1977
Keith Uperesa,OL,,1977
Danny Hansen,OL,,1977
Scott Nielson,OL,,1977
Dev Duke,K,,1977
Mekeli Ierema,DL,,1977
Mat Mendenhall,DL,,1977
Gary Peterson,DL,,1977
Ross Varner,DL,,1977
Mark Bernsten,LB,,1977
Larry Miller,LB,,1977
Rod Wood,LB,,1977
Jason Coloma,DB,,1977
Tony Hernandez,DB,,1977
Bob Prested,DB,,1977
Ron Velasco,DB,,1977
Marc Swensen,DB,,1977
Dave McKee,DB,,1977
John Neal,DB,,1977
Marc Swenson,DB,,1977
Jim McMahon,P,,1977
Marc Wilson,QB,"121 Cmp, 233 Att, 1499 Yds, 8 TD",1978
Jim McMahon,QB,"87 Cmp, 176 Att, 1307 Yds, 6 TD",1978
Mark Flammer,QB,,1978
Scott Phillips,RB,"69 Att, 181 Yds, 2.6 Avg",1978
Bill Ring,RB,"116 Att, 520 Yds, 4.5 Avg",1978
Casey Wingard,RB,"82 Att, 325 Yds, 4.0 Avg",1978
Doug Williams,RB,"24 Att, 49 Yds, 2.0 Avg",1978
