Player,Pos,Summary,Year
Fahu Tahi,RB,"102 Att, 445 Yds, 4.4 Avg",1999
Kalani Sitake,RB,"24 Att, 109 Yds, 4.5 Avg",1999
Luke Staley,RB,"92 Att, 432 Yds, 4.7 Avg",1999
Jaron Dabney,RB,"26 Att, 76 Yds, 2.9 Avg",1999
Will Snowden,RB,"15 Att, 48 Yds, 3.2 Avg",1999
Donny Atuaia,RB,"24 Rec, 228 Yds, 9.5 Avg",1999
Ned Stearns,RB,"4 Att, 11 Yds, 2.8 Avg",1999
Mike Nielsen,RB,"1 Rec, 9 Yds, 9.0 Avg",1999
Margin Hooks,WR,"60 Rec, 1067 Yds, 17.8 Avg",1999
Ben Horton,WR,"43 Rec, 472 Yds, 11.0 Avg",1999
Jonathan Pittman,WR,"29 Rec, 478 Yds, 16.5 Avg",1999
Michael Westbrook,WR,"9 Rec, 65 Yds, 7.2 Avg",1999
Chris Hale,WR,"4 Rec, 55 Yds, 13.8 Avg",1999
Carlos Nuno,TE,"11 Rec, 135 Yds, 12.3 Avg",1999
Tevita Ofahengaue,TE,"21 Rec, 284 Yds, 13.5 Avg",1999
Doug Jolley,TE,"6 Rec, 63 Yds, 10.5 Avg",1999
Bristol Olomua,TE,"2 Rec, 16 Yds, 8.0 Avg",1999
Tevita Ofahengame,TE,,1999
Matt Johnson,OL,,1999
Aaron McCubbins,OL,,1999
Ford Poston,OL,,1999
Jimmy Richards,OL,,1999
Kalani Skiba,OL,,1999
Owen Pochman,K,,1999
Byron Frisch,DL,,1999
Setema Gali,DL,,1999
Chris Hoke,DL,,1999
Hans Olsen,DL,,1999
Ryan Denney,DL,,1999
Chris Watkins,DL,,1999
Justin Ena,LB,,1999
Josh Lowe,LB,,1999
Rob Morris,LB,,1999
Isaac Kelley,LB,,1999
Jeff Holtry,LB,,1999
Brian Gray,DB,,1999
Jared Lee,DB,,1999
Tyler Nelson,DB,,1999
Heshi Robertson,DB,,1999
Elan Edwards,DB,,1999
Tyson Smith,DB,,1999
Jernaro Gilford,DB,,1999
Jesse Sowards,P,,1999
Cliff Doman,PR,,1999
Bret Engemann,QB,"72 Cmp, 134 Att, 896 Yds, 3 TD",2000
Charlie Peterson,QB,"149 Cmp, 260 Att, 1617 Yds, 6 TD",2000
Brandon Doman,QB,"51 Cmp, 92 Att, 782 Yds, 2 TD",2000
Luke Staley,RB,"130 Att, 479 Yds, 3.7 Avg",2000
Kalani Sitake,RB,"25 Att, 100 Yds, 4.0 Avg",2000
Jared Harper,RB,,2000
Brian McDonald,RB,"101 Att, 464 Yds, 4.6 Avg",2000
Marcus Whalen,RB,"38 Att, 209 Yds, 5.5 Avg",2000
Will Snowden,RB,"13 Rec, 98 Yds, 7.5 Avg",2000
Ned Stearns,RB,"3 Att, 2 Yds, 0.7 Avg",2000
Mike Nielsen,RB,"1 Rec, -2 Yds, -2.0 Avg",2000
Paul Peterson,RB,,2000
David Christensen,RB,,2000
Margin Hooks,WR,"61 Rec, 718 Yds, 11.8 Avg",2000
Jonathan Pittman,WR,"38 Rec, 691 Yds, 18.2 Avg",2000
Mike Rigell,WR,"21 Rec, 220 Yds, 10.5 Avg",2000
Ben Horton,WR,"23 Rec, 278 Yds, 12.1 Avg",2000
Soren Halladay,WR,"5 Rec, 86 Yds, 17.2 Avg",2000
Tevita Ofahengame,TE,,2000
Doug Jolley,TE,"14 Rec, 213 Yds, 15.2 Avg",2000
Tevita Ofahengaue,TE,"22 Rec, 305 Yds, 13.9 Avg",2000
Gabriel Reid,TE,"4 Rec, 50 Yds, 12.5 Avg",2000
Ben Archibald,OL,,2000
Aaron McCubbins,OL,,2000
Dustin Rykert,OL,,2000
Jason Scukanee,OL,,2000
Teag Whiting,OL,,2000
Kam Valgardson,OL,,2000
Aaron Edmonds,K,,2000
Owen Pochman,K,,2000
Ryan Denney,DL,,2000
Setema Gali,DL,,2000
Chris Hoke,DL,,2000
Hans Olsen,DL,,2000
Brett Keisel,DL,,2000
Justin Ena,LB,,2000
Isaac Kelley,LB,,2000
Paul Walkenhorst,LB,,2000
Josh Lowe,LB,,2000
Jared Lee,DB,,2000
Danny Phillips,DB,,2000
Tyson Smith,DB,,2000
Dustin Staley,DB,,2000
Michael Lafitte,DB,,2000
Michael Madsen,DB,,2000
Derrus Wilson,DB,,2000
_ Christenson,,,2000
Ryan Skinner,,,2000
