Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
124,1989,NFL,2,35,CIN,Eric Ball,RB,UCLA,DeWayne Walker
125,1989,NFL,2,53,RAM,Darryl Henley,DB,UCLA,DeWayne Walker
126,1989,NFL,4,94,PHO,Jim Wahler,NT,UCLA,DeWayne Walker
127,1989,NFL,11,283,KAN,Marcus Turner,DB,UCLA,DeWayne Walker
128,1989,NFL,12,326,NYG,Eric Smith,LB,UCLA,DeWayne Walker
129,1988,NFL,1,14,RAM,Gaston Green,RB,UCLA,DeWayne Walker
130,1988,NFL,2,41,DAL,Ken Norton Jr.,LB,UCLA,DeWayne Walker
131,1988,NFL,2,46,RAM,Flipper Anderson,WR,UCLA,DeWayne Walker
132,1988,NFL,4,98,SDG,David Richards,G,UCLA,DeWayne Walker
133,1988,NFL,5,131,RAI,Dennis Price,DB,UCLA,DeWayne Walker
134,1988,NFL,5,137,RAM,James Washington,DB,UCLA,DeWayne Walker
135,1988,NFL,9,222,ATL,James Primus,RB,UCLA,DeWayne Walker
136,1988,NFL,9,248,DEN,Mel Farr,RB,UCLA,DeWayne Walker
137,1988,NFL,10,254,DET,Paco Craig,WR,UCLA,DeWayne Walker
138,1988,NFL,12,317,DAL,Ben Hummel,LB,UCLA,DeWayne Walker
139,1987,NFL,7,185,SEA,Derek Tennell,TE,UCLA,DeWayne Walker
140,1987,NFL,8,200,IND,Chuckie Miller,DB,UCLA,DeWayne Walker
141,1987,NFL,11,284,SDG,Joe Goebel,C,UCLA,DeWayne Walker
142,1987,NFL,12,310,SDG,Marcus Greenwood,RB,UCLA,DeWayne Walker
143,1986,NFL,1,18,DAL,Mike Sherrard,WR,UCLA,DeWayne Walker
144,1986,NFL,2,32,STL,John Lee,K,UCLA,DeWayne Walker
145,1986,NFL,3,74,DAL,Mark Walen,DT,UCLA,DeWayne Walker
146,1986,NFL,4,97,SDG,Tommy Taylor,LB,UCLA,DeWayne Walker
147,1986,NFL,6,144,RAM,Robert Jenkins,T,UCLA,DeWayne Walker
148,1986,NFL,8,195,RAM,Steve Jarecki,LB,UCLA,DeWayne Walker
149,1986,NFL,11,291,SEA,David Norrie,QB,UCLA,DeWayne Walker
150,1985,NFL,6,142,MIN,Steve Bono,QB,UCLA,DeWayne Walker
151,1985,NFL,6,161,RAM,Mike Young,WR,UCLA,DeWayne Walker
152,1985,NFL,7,169,BUF,Ron Pitts,DB,UCLA,DeWayne Walker
153,1985,NFL,10,274,RAM,Duval Love,G,UCLA,DeWayne Walker
154,1985,NFL,11,297,DAL,Neal Dellocono,LB,UCLA,DeWayne Walker
155,1985,NFL,12,326,NYG,Herb Welch,DB,UCLA,DeWayne Walker
156,1984,NFL,1*,8,IND,Paul Bergmann,TE,UCLA,DeWayne Walker
157,1984,NFL,1,18,CLE,Don Rogers,DB,UCLA,DeWayne Walker
158,1984,NFL,2*,30,TAM,Kevin Nelson,RB,UCLA,DeWayne Walker
159,1984,NFL,2*,34,KAN,Lupe Sanchez,DB,UCLA,DeWayne Walker
160,1984,NFL,3*,71,CLE,Doug West,LB,UCLA,DeWayne Walker
161,1984,NFL,3,83,WAS,Jay Schroeder,QB,UCLA,DeWayne Walker
162,1984,NFL,11,283,NYG,Frank Cephous,RB,UCLA,DeWayne Walker
163,1984,NFL,11,302,SEA,Steve Gemza,T,UCLA,DeWayne Walker
164,1984,NFL,12,319,NWE,Harper Howell,TE,UCLA,DeWayne Walker
165,1983,NFL,3,59,SFO,Blanchard Montgomery,LB,UCLA,DeWayne Walker
166,1983,NFL,3,78,NYJ,Jo-Jo Townsell,WR,UCLA,DeWayne Walker
167,1983,NFL,3,81,CIN,Jimmy Turner,DB,UCLA,DeWayne Walker
168,1983,NFL,5,138,RAI,Dokie Williams,WR,UCLA,DeWayne Walker
169,1983,NFL,8,204,KAN,Irv Eatman,T,UCLA,DeWayne Walker
170,1983,NFL,9,244,PIT,Blake Wingle,G,UCLA,DeWayne Walker
171,1983,NFL,10,267,NWE,Tom Ramsey,QB,UCLA,DeWayne Walker
172,1982,NFL,1,16,STL,Luis Sharpe,T,UCLA,DeWayne Walker
173,1982,NFL,3,62,CHI,Tim Wrightman,TE,UCLA,DeWayne Walker
174,1982,NFL,8,208,DET,Martin Moss,DE,UCLA,DeWayne Walker
175,1982,NFL,9,249,DAL,Joe Gary,DT,UCLA,DeWayne Walker
176,1982,NFL,11,285,RAM,Ricky Coffman,WR,UCLA,DeWayne Walker
177,1981,NFL,1,3,NYJ,Freeman McNeil,RB,UCLA,DeWayne Walker
178,1981,NFL,1,4,SEA,Kenny Easley,DB,UCLA,DeWayne Walker
179,1981,NFL,5,129,DET,Larry Lee,G,UCLA,DeWayne Walker
180,1981,NFL,9,243,HOU,Avon Riley,LB,UCLA,DeWayne Walker
181,1981,NFL,9,248,OAK,Curt Mohl,T,UCLA,DeWayne Walker
182,1981,NFL,11,286,SFO,Ronnie DeBose,TE,UCLA,DeWayne Walker
183,1981,NFL,12,328,RAM,Jairo Penaranda,RB,UCLA,DeWayne Walker
184,1980,NFL,3,68,MIN,Brent Boyd,G,UCLA,DeWayne Walker
185,1979,NFL,1,18,SEA,Manu Tuiasosopo,DT,UCLA,DeWayne Walker
186,1979,NFL,1,21,PHI,Jerry Robinson,LB,UCLA,DeWayne Walker
187,1979,NFL,2,29,SFO,James Owens,RB,UCLA,DeWayne Walker
188,1979,NFL,2,35,STL,Theotis Brown,RB,UCLA,DeWayne Walker
189,1979,NFL,4,98,NYJ,Johnny Lynn,DB,UCLA,DeWayne Walker
190,1979,NFL,7,168,CIN,Max Montoya,G,UCLA,DeWayne Walker
191,1979,NFL,11,294,OAK,Bruce Davis,T,UCLA,DeWayne Walker
192,1978,NFL,3,78,RAM,Frank Corral,K,UCLA,DeWayne Walker
193,1978,NFL,7,169,NYJ,Levi Armstrong,DB,UCLA,DeWayne Walker
194,1978,NFL,8,222,DAL,Homer Butler,WR,UCLA,DeWayne Walker
195,1978,NFL,12,330,RAM,Gus Coppens,T,UCLA,DeWayne Walker
196,1977,NFL,3,79,RAM,Wendell Tyler,RB,UCLA,DeWayne Walker
197,1977,NFL,4,85,CIN,Rick Walker,TE,UCLA,DeWayne Walker
198,1977,NFL,12,318,KAN,Raymond Burks,LB,UCLA,DeWayne Walker
199,1976,NFL,2,41,KAN,Cliff Frazier,DT,UCLA,DeWayne Walker
200,1976,NFL,2,42,SFO,Randy Cross,G,UCLA,DeWayne Walker
201,1976,NFL,4,103,CHI,John Sciarra,DB,UCLA,DeWayne Walker
202,1976,NFL,9,246,ATL,Phil McKinnely,T,UCLA,DeWayne Walker
203,1976,NFL,11,299,CHI,Norm Andersen,WR,UCLA,DeWayne Walker
204,1976,NFL,13,353,PHI,Terry Tautolo,LB,UCLA,DeWayne Walker
205,1976,NFL,15,412,PHI,Brett White,P,UCLA,DeWayne Walker
206,1976,NFL,15,430,DAL,Dale Curry,LB,UCLA,DeWayne Walker
207,1975,NFL,6,132,ATL,Fulton Kuykendall,LB,UCLA,DeWayne Walker
208,1975,NFL,9,222,PIT,Eugene Clark,G,UCLA,DeWayne Walker
209,1975,NFL,15,384,WAS,Art Kuehn,C,UCLA,DeWayne Walker
210,1975,NFL,17,428,NWE,Myke Horton,T,UCLA,DeWayne Walker
211,1974,NFL,1,10,SFO,Bill Sandifer,DT,UCLA,DeWayne Walker
212,1974,NFL,1,17,MIN,Fred McNeill,LB,UCLA,DeWayne Walker
213,1974,NFL,3,72,DAL,Cal Peterson,LB,UCLA,DeWayne Walker
214,1974,NFL,3,76,RAM,Al Oliver,T,UCLA,DeWayne Walker
215,1974,NFL,4,100,PIT,Jimmy Allen,DB,UCLA,DeWayne Walker
216,1974,NFL,6,148,OAK,James McAlister,RB,UCLA,DeWayne Walker
217,1974,NFL,6,151,DAL,Jimmy Bright,DB,UCLA,DeWayne Walker
218,1974,NFL,7,166,SFO,Kermit Johnson,RB,UCLA,DeWayne Walker
219,1974,NFL,7,169,DET,Efren Herrera,K,UCLA,DeWayne Walker
220,1974,NFL,11,281,CIN,Ed Kezirian,T,UCLA,DeWayne Walker
221,1974,NFL,11,286,MIA,Gerry Roberts,DE,UCLA,DeWayne Walker
222,1974,NFL,12,310,RAM,Roger Freberg,G,UCLA,DeWayne Walker
223,1973,NFL,5,107,CHI,Allan Ellis,DB,UCLA,DeWayne Walker
224,1973,NFL,5,126,DAL,Bruce Walton,T,UCLA,DeWayne Walker
225,1973,NFL,12,287,HOU,Brad Lyman,WR,UCLA,DeWayne Walker
226,1973,NFL,12,290,NWE,Bruce Barnes,P,UCLA,DeWayne Walker
227,1973,NFL,13,332,DAL,John Smith,WR,UCLA,DeWayne Walker
228,1973,NFL,15,386,GNB,Reggie Echols,WR,UCLA,DeWayne Walker
229,1972,NFL,4,89,NYJ,Ed Galigher,DT,UCLA,DeWayne Walker
230,1972,NFL,4,100,OAK,Dave Dalby,C,UCLA,DeWayne Walker
231,1972,NFL,5,125,RAM,Bob Christiansen,DT,UCLA,DeWayne Walker
232,1972,NFL,6,133,CHI,Bob Pifferini,LB,UCLA,DeWayne Walker
233,1971,NFL,10,253,OAK,Tim Oesterling,DT,UCLA,DeWayne Walker
234,1971,NFL,14,354,KAN,Bruce Bergey,DE,UCLA,DeWayne Walker
235,1970,NFL,3,54,CHI,George Farmer,WR,UCLA,DeWayne Walker
236,1970,NFL,3,56,BOS,Mike Ballou,LB,UCLA,DeWayne Walker
237,1970,NFL,4,97,NYG,Wes Grant,DE,UCLA,DeWayne Walker
238,1970,NFL,5,129,MIN,Greg Jones,RB,UCLA,DeWayne Walker
239,1970,NFL,9,216,CIN,Bill Bolden,RB,UCLA,DeWayne Walker
240,1970,NFL,9,231,DAL,Zenon Andrusyshyn,P,UCLA,DeWayne Walker
241,1970,NFL,10,258,OAK,Gordon Bosserman,T,UCLA,DeWayne Walker
242,1970,NFL,14,360,RAM,Bob Geddes,LB,UCLA,DeWayne Walker
243,1969,NFL,7,168,GNB,Larry Agajanian,DT,UCLA,DeWayne Walker
244,1969,NFL,7,169,CHI,Ron Copeland,WR,UCLA,DeWayne Walker
245,1969,NFL,14,362,OAK,Harold Busby,E,UCLA,DeWayne Walker
246,1968,NFL,2,30,RAM,Gary Beban,QB,UCLA,DeWayne Walker
247,1968,NFL,11,285,STL,Larry Slagle,G,UCLA,DeWayne Walker
248,1968,NFL,17,436,CIN,Don Manning,LB,UCLA,DeWayne Walker
249,1967,NFL,1,7,DET,Mel Farr,RB,UCLA,DeWayne Walker
250,1967,NFL,9,216,MIA,John Richardson,DT,UCLA,DeWayne Walker
251,1966,NFL,8,119,SFO,Dick Witcher,WR,UCLA,DeWayne Walker
252,1965,NFL,17,229,DAL,Mitch Johnson,T,UCLA,DeWayne Walker
253,1964,NFL,8,101,DAL,Al Geverink,HB,UCLA,DeWayne Walker
254,1964,AFL,24,191,OAK,Kent Francisco,T,UCLA,DeWayne Walker
255,1964,NFL,14,196,CHI,Kent Francisco,T,UCLA,DeWayne Walker
256,1963,AFL,1,5,DEN,Kermit Alexander Jr.,DB,UCLA,DeWayne Walker
