Player,Class,Pos,Summary,Year,School,Coach
Jonte Green,JR,DB,,2010,New Mexico State,DeWayne Walker
Devin Jackson,FR,DB,,2010,New Mexico State,DeWayne Walker
Darien Johnson,FR,DB,,2010,New Mexico State,DeWayne Walker
Josh Smith,FR,DB,,2010,New Mexico State,DeWayne Walker
Justin Smith,FR,DB,,2010,New Mexico State,DeWayne Walker
Michael Zant,JR,DB,,2010,New Mexico State,DeWayne Walker
Donyae Coleman,JR,DB,,2010,New Mexico State,DeWayne Walker
Davon House,SR,DB,,2010,New Mexico State,DeWayne Walker
Alphonso Powell,SR,DB,,2010,New Mexico State,DeWayne Walker
Matt Christian,SR,QB,"145 Cmp, 277 Att, 2158 Yds, 15 TD",2011,New Mexico State,DeWayne Walker
Andrew Manley,SO,QB,"62 Cmp, 109 Att, 892 Yds, 6 TD",2011,New Mexico State,DeWayne Walker
Travaughn Colwell,FR,QB,"39 Cmp, 60 Att, 419 Yds, 2 TD",2011,New Mexico State,DeWayne Walker
Kenny Turner,JR,RB,"219 Att, 1074 Yds, 4.9 Avg",2011,New Mexico State,DeWayne Walker
Robert Clay,JR,RB,"42 Att, 133 Yds, 3.2 Avg",2011,New Mexico State,DeWayne Walker
Victor Johnson,JR,RB,"22 Att, 90 Yds, 4.1 Avg",2011,New Mexico State,DeWayne Walker
Brandon Betancourt,FR,RB,"6 Att, 24 Yds, 4.0 Avg",2011,New Mexico State,DeWayne Walker
Todd Lee,SR,WR,"39 Rec, 592 Yds, 15.2 Avg",2011,New Mexico State,DeWayne Walker
Austin Franklin,FR,WR,"34 Rec, 524 Yds, 15.4 Avg",2011,New Mexico State,DeWayne Walker
Taveon Rogers,SR,WR,"59 Rec, 1048 Yds, 17.8 Avg",2011,New Mexico State,DeWayne Walker
Kemonte Bateman,JR,WR,"27 Rec, 422 Yds, 15.6 Avg",2011,New Mexico State,DeWayne Walker
Jerrel Brown,SO,WR,"6 Rec, 79 Yds, 13.2 Avg",2011,New Mexico State,DeWayne Walker
