Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
108,1966,AFL,11,93,DEN,Mike Sullivan,E,Oregon State,Dave Kragthorpe
109,1966,NFL,11,164,DET,Jack O'Billovich,LB,Oregon State,Dave Kragthorpe
110,1966,NFL,15,217,RAM,Mike Sullivan,E,Oregon State,Dave Kragthorpe
111,1966,NFL,15,220,DAL,Mark Gartung,T,Oregon State,Dave Kragthorpe
112,1965,NFL,6,74,GNB,Dick Koeper,T,Oregon State,Dave Kragthorpe
113,1965,NFL,16,215,DAL,Doug McDougal,E,Oregon State,Dave Kragthorpe
114,1965,NFL,17,226,SFO,Len Frketich,E,Oregon State,Dave Kragthorpe
115,1965,NFL,17,234,GNB,Steve Clark,K,Oregon State,Dave Kragthorpe
116,1964,AFL,23,177,DEN,Ken Brusven,T,Oregon State,Dave Kragthorpe
117,1964,NFL,17,225,SFO,Ken Brusven,T,Oregon State,Dave Kragthorpe
118,1963,NFL,1,1,RAM,Terry Baker,QB,Oregon State,Dave Kragthorpe
119,1963,NFL,5,64,SFO,Vern Burke,SE,Oregon State,Dave Kragthorpe
120,1963,AFL,12,90,SDG,Terry Baker,QB,Oregon State,Dave Kragthorpe
121,1963,AFL,15,113,OAK,Vern Burke,SE,Oregon State,Dave Kragthorpe
122,1962,NFL,5,67,CLE,Hank Rivera,DB,Oregon State,Dave Kragthorpe
123,1962,AFL,10,73,OAK,Hank Rivera,DB,Oregon State,Dave Kragthorpe
124,1962,AFL,11,82,DEN,Mike Kline,G,Oregon State,Dave Kragthorpe
125,1962,AFL,22,170,DEN,Don Kasso,HB,Oregon State,Dave Kragthorpe
126,1962,NFL,16,222,NYG,Roger Johnson,HB,Oregon State,Dave Kragthorpe
127,1962,NFL,17,230,STL,Don Kasso,HB,Oregon State,Dave Kragthorpe
128,1961,NFL,4,47,SFO,Aaron Thomas,TE,Oregon State,Dave Kragthorpe
129,1961,NFL,7,86,DAL,Art Gilmore,B,Oregon State,Dave Kragthorpe
130,1961,AFL,11,86,NYT,Art Gilmore,HB,Oregon State,Dave Kragthorpe
131,1961,AFL,16,126,DTX,Aaron Thomas,TE,Oregon State,Dave Kragthorpe
132,1961,AFL,20,157,NYT,Neil Plumley,T,Oregon State,Dave Kragthorpe
133,1960,AFL,,0,NYT,Ed Kaohelaulii,T,Oregon State,Dave Kragthorpe
134,1960,AFL,,0,NYT,James Stinnette,FB,Oregon State,Dave Kragthorpe
135,1959,NFL,5,52,CRD,Ted Bates,LB,Oregon State,Dave Kragthorpe
136,1958,NFL,5,51,GNB,Joe Francis,QB,Oregon State,Dave Kragthorpe
137,1957,NFL,12,138,PIT,Vern Ellison,G,Oregon State,Dave Kragthorpe
138,1957,NFL,30,359,CHI,Sam Wesley,B,Oregon State,Dave Kragthorpe
139,1955,NFL,9,103,RAM,John Witte,T,Oregon State,Dave Kragthorpe
140,1955,NFL,10,117,SFO,Ron Ashbacker,E,Oregon State,Dave Kragthorpe
141,1954,NFL,7,74,CRD,Dave Mann,HB,Oregon State,Dave Kragthorpe
142,1954,NFL,12,145,DET,Bob Hartman,T,Oregon State,Dave Kragthorpe
143,1954,NFL,17,199,PIT,Joe Fulwyler,C,Oregon State,Dave Kragthorpe
144,1953,NFL,8,94,SFO,Doug Hogland,G,Oregon State,Dave Kragthorpe
145,1952,NFL,4,44,CHI,Herman Clark,G,Oregon State,Dave Kragthorpe
146,1952,NFL,5,55,WAS,Jim Clark,T,Oregon State,Dave Kragthorpe
147,1952,NFL,7,77,PHI,John Thomas,E,Oregon State,Dave Kragthorpe
148,1952,NFL,11,133,RAM,Sam Baker,K,Oregon State,Dave Kragthorpe
149,1951,NFL,13,155,NYY,John Thomas,E,Oregon State,Dave Kragthorpe
150,1950,NFL,1,13,CLE,Ken Carpenter,HB,Oregon State,Dave Kragthorpe
151,1950,NFL,14,172,NYY,Ed Carmichael,G,Oregon State,Dave Kragthorpe
152,1950,NFL,24,313,PHI,Tom DeSylvia,G,Oregon State,Dave Kragthorpe
153,1950,NFL,27,351,CLE,Dick Gray,B,Oregon State,Dave Kragthorpe
154,1949,NFL,13,126,NYG,Bill Austin,G,Oregon State,Dave Kragthorpe
155,1949,NFL,14,137,RAM,Ed Carmichael,T,Oregon State,Dave Kragthorpe
156,1947,NFL,6,43,RAM,Paul Evanson,T,Oregon State,Dave Kragthorpe
157,1947,NFL,7,48,WAS,Bill Gray,G,Oregon State,Dave Kragthorpe
158,1946,NFL,3,25,RAM,Don Samuel,DB,Oregon State,Dave Kragthorpe
159,1946,NFL,11,98,DET,Bob Stevens,B,Oregon State,Dave Kragthorpe
160,1946,NFL,13,115,NYG,Bob Reiman,B,Oregon State,Dave Kragthorpe
