Player,Class,Pos,Summary,Year,School,Coach
Erik Wilhelm*,,QB,"275 Cmp, 442 Att, 2896 Yds, 18 TD",1988,Oregon State,Dave Kragthorpe
Pat Chaffey*,,RB,"113 Att, 475 Yds, 4.2 Avg",1988,Oregon State,Dave Kragthorpe
Brian Taylor*,,RB,"88 Att, 403 Yds, 4.6 Avg",1988,Oregon State,Dave Kragthorpe
Brian Swanson,,RB,"64 Att, 250 Yds, 3.9 Avg",1988,Oregon State,Dave Kragthorpe
Trey Nicholson,,RB,"41 Att, 175 Yds, 4.3 Avg",1988,Oregon State,Dave Kragthorpe
Dowell Williams,,RB,"10 Att, 40 Yds, 4.0 Avg",1988,Oregon State,Dave Kragthorpe
Robb Thomas*,,WR,"58 Rec, 763 Yds, 13.2 Avg",1988,Oregon State,Dave Kragthorpe
Bryant Hill*,,WR,"24 Rec, 268 Yds, 11.2 Avg",1988,Oregon State,Dave Kragthorpe
Reggie Hubbard,,WR,"10 Rec, 121 Yds, 12.1 Avg",1988,Oregon State,Dave Kragthorpe
Jason Kent,,WR,"21 Rec, 294 Yds, 14.0 Avg",1988,Oregon State,Dave Kragthorpe
Lloyd Bailey,,WR,"6 Rec, 76 Yds, 12.7 Avg",1988,Oregon State,Dave Kragthorpe
Phil Ross*,,TE,"30 Rec, 347 Yds, 11.6 Avg",1988,Oregon State,Dave Kragthorpe
George Gaines,,TE,"3 Rec, 36 Yds, 12.0 Avg",1988,Oregon State,Dave Kragthorpe
Ryan Hollenbeck,,TE,,1988,Oregon State,Dave Kragthorpe
Mike Bailey*,,OL,,1988,Oregon State,Dave Kragthorpe
Rob Jack*,,OL,,1988,Oregon State,Dave Kragthorpe
Ken Kiff*,,OL,,1988,Oregon State,Dave Kragthorpe
Hector Meza*,,OL,,1988,Oregon State,Dave Kragthorpe
Kenny Felix,,OL,,1988,Oregon State,Dave Kragthorpe
Troy Bussanich,,K,,1988,Oregon State,Dave Kragthorpe
Pellom McDaniels*,,DL,,1988,Oregon State,Dave Kragthorpe
Esera Tuaolo*,,DL,,1988,Oregon State,Dave Kragthorpe
Tom Vettrus*,,DL,,1988,Oregon State,Dave Kragthorpe
Jim Cureton*,,LB,,1988,Oregon State,Dave Kragthorpe
Ray Giacomelli*,,LB,,1988,Oregon State,Dave Kragthorpe
Mike Mathews*,,LB,,1988,Oregon State,Dave Kragthorpe
Bruce Sanders*,,LB,,1988,Oregon State,Dave Kragthorpe
Scott Sanders,,LB,,1988,Oregon State,Dave Kragthorpe
Mike Matthews,,LB,,1988,Oregon State,Dave Kragthorpe
Andre Harris*,,DB,,1988,Oregon State,Dave Kragthorpe
Billy Hughely*,,DB,,1988,Oregon State,Dave Kragthorpe
Calvin Nicholson*,,DB,,1988,Oregon State,Dave Kragthorpe
Larry Vladic*,,DB,,1988,Oregon State,Dave Kragthorpe
David Brannon,,DB,,1988,Oregon State,Dave Kragthorpe
Teddy Johnson,,DB,,1988,Oregon State,Dave Kragthorpe
Duane Hughes,,DB,,1988,Oregon State,Dave Kragthorpe
Nick Schichtle,,P,,1988,Oregon State,Dave Kragthorpe
Mark Bennett,,P,,1988,Oregon State,Dave Kragthorpe
Nick Schichtle*,,QB,"93 Cmp, 187 Att, 1378 Yds, 7 TD",1989,Oregon State,Dave Kragthorpe
Matt Booher,,QB,"122 Cmp, 201 Att, 1242 Yds, 4 TD",1989,Oregon State,Dave Kragthorpe
Pat Chaffey*,,RB,"205 Att, 714 Yds, 3.5 Avg",1989,Oregon State,Dave Kragthorpe
Reggie Pitchford*,,RB,"41 Att, 118 Yds, 2.9 Avg",1989,Oregon State,Dave Kragthorpe
James Jones,,RB,"23 Att, 63 Yds, 2.7 Avg",1989,Oregon State,Dave Kragthorpe
Jerrell Waddell,,RB,"11 Att, 28 Yds, 2.5 Avg",1989,Oregon State,Dave Kragthorpe
Dowell Williams,,RB,"3 Att, 5 Yds, 1.7 Avg",1989,Oregon State,Dave Kragthorpe
Reggie Hubbard*,,WR,"31 Rec, 410 Yds, 13.2 Avg",1989,Oregon State,Dave Kragthorpe
Maurice Wilson*,,WR,"20 Rec, 333 Yds, 16.7 Avg",1989,Oregon State,Dave Kragthorpe
Al Griswold,,WR,"2 Rec, 67 Yds, 33.5 Avg",1989,Oregon State,Dave Kragthorpe
Jason Kent,,WR,"31 Rec, 436 Yds, 14.1 Avg",1989,Oregon State,Dave Kragthorpe
Lloyd Bailey,,WR,"17 Rec, 257 Yds, 15.1 Avg",1989,Oregon State,Dave Kragthorpe
Scott Benton,,WR,"2 Rec, 37 Yds, 18.5 Avg",1989,Oregon State,Dave Kragthorpe
Phil Ross*,,TE,"36 Rec, 415 Yds, 11.5 Avg",1989,Oregon State,Dave Kragthorpe
George Breland,,TE,"2 Rec, 16 Yds, 8.0 Avg",1989,Oregon State,Dave Kragthorpe
Mike Bailey*,,OL,,1989,Oregon State,Dave Kragthorpe
Brad D'Ancona*,,OL,,1989,Oregon State,Dave Kragthorpe
Matt Irvin*,,OL,,1989,Oregon State,Dave Kragthorpe
Rob Jack*,,OL,,1989,Oregon State,Dave Kragthorpe
Pete Steffen*,,OL,,1989,Oregon State,Dave Kragthorpe
Dan Blus,,OL,,1989,Oregon State,Dave Kragthorpe
Johnny Feinga,,OL,,1989,Oregon State,Dave Kragthorpe
