Player,Class,Pos,Summary,Year,School,Coach
Scott Tercero,,OL,,1999,California,Tom Holmoe
Yauger Williams,,OL,,1999,California,Tom Holmoe
Ignacio Brache,,K,,1999,California,Tom Holmoe
Jeremy Hershey,,K,,1999,California,Tom Holmoe
Mark-Christian Jensen,,K,,1999,California,Tom Holmoe
Andre Carter*,,DL,,1999,California,Tom Holmoe
Jerry DeLoach*,,DL,,1999,California,Tom Holmoe
Mawuko Tugbenyoh*,,DL,,1999,California,Tom Holmoe
Jacob Waasdorp*,,DL,,1999,California,Tom Holmoe
Daniel Nwangwu,,DL,,1999,California,Tom Holmoe
Jeremiah Parker,,DL,,1999,California,Tom Holmoe
Matt Beck*,,LB,,1999,California,Tom Holmoe
Keith Miller*,,LB,,1999,California,Tom Holmoe
Sekou Sanyika*,,LB,,1999,California,Tom Holmoe
Jamaal Cherry,,LB,,1999,California,Tom Holmoe
Scott Fujita,,LB,,1999,California,Tom Holmoe
Fa'avae Fa'avae,,LB,,1999,California,Tom Holmoe
J.J. Jimenez,,LB,,1999,California,Tom Holmoe
Deltha O'Neal*,,DB,,1999,California,Tom Holmoe
Pete DeStefano*,,DB,,1999,California,Tom Holmoe
Chidi Iwuoma*,,DB,,1999,California,Tom Holmoe
Damien Marzett*,,DB,,1999,California,Tom Holmoe
Jemeel Powell,,DB,,1999,California,Tom Holmoe
Dewey Hale,,DB,,1999,California,Tom Holmoe
Atari Callen,,DB,,1999,California,Tom Holmoe
Nick Harris,,P,,1999,California,Tom Holmoe
Kyle Boller*,SO,QB,"163 Cmp, 349 Att, 2121 Yds, 15 TD",2000,California,Tom Holmoe
Eric Holtfreter,JR,QB,"1 Cmp, 4 Att, 2 Yds, 0 TD",2000,California,Tom Holmoe
Joe Igber*,SO,RB,"195 Att, 901 Yds, 4.6 Avg",2000,California,Tom Holmoe
Ryan Stanger*,SO,RB,"13 Att, 49 Yds, 3.8 Avg",2000,California,Tom Holmoe
Saleem Muhammad,JR,RB,"61 Att, 264 Yds, 4.3 Avg",2000,California,Tom Holmoe
Adimchinobe Echemandu,SO,RB,"58 Att, 215 Yds, 3.7 Avg",2000,California,Tom Holmoe
Marcus Fields,SR,RB,"3 Rec, 24 Yds, 8.0 Avg",2000,California,Tom Holmoe
Keala Keanaaina,SR,RB,"15 Rec, 190 Yds, 12.7 Avg",2000,California,Tom Holmoe
Derek Swafford*,SO,WR,"25 Rec, 335 Yds, 13.4 Avg",2000,California,Tom Holmoe
Geoff McArthur*,,WR,"20 Rec, 336 Yds, 16.8 Avg",2000,California,Tom Holmoe
Phillip Pipersburg,SR,WR,"13 Rec, 274 Yds, 21.1 Avg",2000,California,Tom Holmoe
Chase Lyman,FR,WR,"19 Rec, 313 Yds, 16.5 Avg",2000,California,Tom Holmoe
Charon Arnold,JR,WR,"12 Rec, 111 Yds, 9.3 Avg",2000,California,Tom Holmoe
Chad Heydorff,JR,WR,"7 Rec, 89 Yds, 12.7 Avg",2000,California,Tom Holmoe
Sean Currin,JR,WR,"5 Rec, 73 Yds, 14.6 Avg",2000,California,Tom Holmoe
Brian White,SO,WR,"2 Rec, 20 Yds, 10.0 Avg",2000,California,Tom Holmoe
James Smith,FR,WR,"1 Rec, 12 Yds, 12.0 Avg",2000,California,Tom Holmoe
Brian Surgener*,SR,TE,"4 Rec, 47 Yds, 11.8 Avg",2000,California,Tom Holmoe
Brandon Ludwig*,,OL,,2000,California,Tom Holmoe
Scott Tercero*,,OL,,2000,California,Tom Holmoe
Langston Walker*,,OL,,2000,California,Tom Holmoe
Mark Wilson*,,OL,,2000,California,Tom Holmoe
Roy Jackson,,OL,,2000,California,Tom Holmoe
Nolan Bluntzer,,OL,,2000,California,Tom Holmoe
Mark-Christian Jensen,SO,K,,2000,California,Tom Holmoe
Tully Banta-Cain*,,DL,,2000,California,Tom Holmoe
Josh Beckham*,,DL,,2000,California,Tom Holmoe
Andre Carter*,,DL,,2000,California,Tom Holmoe
Jacob Waasdorp*,,DL,,2000,California,Tom Holmoe
Daniel Nwangwu,,DL,,2000,California,Tom Holmoe
Sean Paga,,DL,,2000,California,Tom Holmoe
Scott Fujita*,,LB,,2000,California,Tom Holmoe
John Klotsche*,,LB,,2000,California,Tom Holmoe
Matt Nixon*,,LB,,2000,California,Tom Holmoe
Chris Ball,JR,LB,,2000,California,Tom Holmoe
Jason Smith,,LB,,2000,California,Tom Holmoe
Dewey Hale*,JR,DB,,2000,California,Tom Holmoe
Nnamdi Asomugha*,SO,DB,,2000,California,Tom Holmoe
Chidi Iwuoma*,SR,DB,,2000,California,Tom Holmoe
Jemeel Powell*,SO,DB,,2000,California,Tom Holmoe
James Bethea,,DB,,2000,California,Tom Holmoe
Harold Pearson,SR,DB,,2000,California,Tom Holmoe
Lashaun Ward,SO,DB,,2000,California,Tom Holmoe
Bert Watts,,DB,,2000,California,Tom Holmoe
Nick Harris,SR,P,,2000,California,Tom Holmoe
Tyler Fredrickson,,P,,2000,California,Tom Holmoe
_ Klotsche,,,,2000,California,Tom Holmoe
_ Nwangwu,,,,2000,California,Tom Holmoe
_ Paga,,,,2000,California,Tom Holmoe
_ Waagdorp,,,,2000,California,Tom Holmoe
Pana Faumuina,,,,2000,California,Tom Holmoe
Roy Jackson,,,,2000,California,Tom Holmoe
Kyle Boller*,JR,QB,"133 Cmp, 271 Att, 1741 Yds, 12 TD",2001,California,Tom Holmoe
Eric Holtfreter,SR,QB,"40 Cmp, 84 Att, 460 Yds, 2 TD",2001,California,Tom Holmoe
Reggie Robertson,,QB,"28 Cmp, 65 Att, 298 Yds, 1 TD",2001,California,Tom Holmoe
Joe Igber*,JR,RB,"94 Att, 399 Yds, 4.2 Avg",2001,California,Tom Holmoe
Marcus Fields*,SR,RB,"26 Rec, 301 Yds, 11.6 Avg",2001,California,Tom Holmoe
Terrell Williams,FR,RB,"160 Att, 688 Yds, 4.3 Avg",2001,California,Tom Holmoe
Michael Sparks,FR,RB,"3 Att, 2 Yds, 0.7 Avg",2001,California,Tom Holmoe
Jon Bensley,FR,RB,"2 Rec, 18 Yds, 9.0 Avg",2001,California,Tom Holmoe
Ryan Stanger,JR,RB,"2 Rec, 25 Yds, 12.5 Avg",2001,California,Tom Holmoe
Charon Arnold*,SR,WR,"52 Rec, 606 Yds, 11.7 Avg",2001,California,Tom Holmoe
Derek Swafford,JR,WR,"12 Rec, 121 Yds, 10.1 Avg",2001,California,Tom Holmoe
Christian Prelle,FR,WR,"6 Rec, 97 Yds, 16.2 Avg",2001,California,Tom Holmoe
