Player,Class,Pos,Summary,Year,School,Coach
Damon Gourdine,,WR,"55 Rec, 649 Yds, 11.8 Avg",1998,San Diego State,Ted Tollner
Jesus Reyes,,WR,"32 Rec, 347 Yds, 10.8 Avg",1998,San Diego State,Ted Tollner
Lonny Mitchell,,WR,"16 Rec, 226 Yds, 14.1 Avg",1998,San Diego State,Ted Tollner
Sean Pierce,,WR,"3 Rec, 53 Yds, 17.7 Avg",1998,San Diego State,Ted Tollner
Jason Mahaffey,,WR,"2 Rec, 32 Yds, 16.0 Avg",1998,San Diego State,Ted Tollner
Josh Brakefield,,WR,"1 Rec, 8 Yds, 8.0 Avg",1998,San Diego State,Ted Tollner
Robert Jarvis,,WR,"1 Rec, 5 Yds, 5.0 Avg",1998,San Diego State,Ted Tollner
Jim Ange,,TE,"13 Rec, 108 Yds, 8.3 Avg",1998,San Diego State,Ted Tollner
Gray McNeill,,TE,"3 Rec, 43 Yds, 14.3 Avg",1998,San Diego State,Ted Tollner
Giovanni Toccagino,,TE,"3 Rec, 22 Yds, 7.3 Avg",1998,San Diego State,Ted Tollner
Ben Mecham,,TE,"1 Rec, 2 Yds, 2.0 Avg",1998,San Diego State,Ted Tollner
Dan Cleary,,OL,,1998,San Diego State,Ted Tollner
M. Spellman,,K,,1998,San Diego State,Ted Tollner
Nate Tandberg,,K,,1998,San Diego State,Ted Tollner
Joseph Tuipala,,LB,,1998,San Diego State,Ted Tollner
Aazaar Abdul-Rahim,,DB,,1998,San Diego State,Ted Tollner
Kevin Burton,,DB,,1998,San Diego State,Ted Tollner
Jomar Butler,,DB,,1998,San Diego State,Ted Tollner
Rico Curtis,,DB,,1998,San Diego State,Ted Tollner
Sheldon Pope,,DB,,1998,San Diego State,Ted Tollner
Tairou Smith,,DB,,1998,San Diego State,Ted Tollner
Matt Thorne,,DB,,1998,San Diego State,Ted Tollner
Don Copeland,,P,,1998,San Diego State,Ted Tollner
Jack Hawley,,QB,"145 Cmp, 266 Att, 1942 Yds, 15 TD",1999,San Diego State,Ted Tollner
Brian Russell,,QB,"19 Cmp, 42 Att, 215 Yds, 2 TD",1999,San Diego State,Ted Tollner
Lon Sheriff,,QB,"11 Cmp, 22 Att, 113 Yds, 0 TD",1999,San Diego State,Ted Tollner
Larry Ned,,RB,"162 Att, 894 Yds, 5.5 Avg",1999,San Diego State,Ted Tollner
Jonas Lewis,,RB,"157 Att, 812 Yds, 5.2 Avg",1999,San Diego State,Ted Tollner
James Truvillion,,RB,"21 Att, 68 Yds, 3.2 Avg",1999,San Diego State,Ted Tollner
Aqeel Muhammad,,RB,"7 Att, 16 Yds, 2.3 Avg",1999,San Diego State,Ted Tollner
Mike Williams,,RB,"2 Att, 2 Yds, 1.0 Avg",1999,San Diego State,Ted Tollner
Lonny Mitchell,,WR,"14 Rec, 276 Yds, 19.7 Avg",1999,San Diego State,Ted Tollner
Damon Gourdine,,WR,"38 Rec, 439 Yds, 11.6 Avg",1999,San Diego State,Ted Tollner
Sean Pierce,,WR,"21 Rec, 222 Yds, 10.6 Avg",1999,San Diego State,Ted Tollner
Derrick Lewis,,WR,"25 Rec, 538 Yds, 21.5 Avg",1999,San Diego State,Ted Tollner
J.R. Tolver,FR,WR,"9 Rec, 101 Yds, 11.2 Avg",1999,San Diego State,Ted Tollner
Bill Hammett,,WR,"3 Rec, 36 Yds, 12.0 Avg",1999,San Diego State,Ted Tollner
Thomas Howard,,WR,"2 Rec, 20 Yds, 10.0 Avg",1999,San Diego State,Ted Tollner
Deric Martin,,WR,"2 Rec, 7 Yds, 3.5 Avg",1999,San Diego State,Ted Tollner
Gray McNeill,,TE,"22 Rec, 283 Yds, 12.9 Avg",1999,San Diego State,Ted Tollner
Jim Ange,,TE,"12 Rec, 126 Yds, 10.5 Avg",1999,San Diego State,Ted Tollner
Nate Tandberg,,K,,1999,San Diego State,Ted Tollner
Mac Cleary,,LB,,1999,San Diego State,Ted Tollner
Aazaar Abdul-Rahim,,DB,,1999,San Diego State,Ted Tollner
Kevin Burton,,DB,,1999,San Diego State,Ted Tollner
Rico Curtis,,DB,,1999,San Diego State,Ted Tollner
Will Demps,,DB,,1999,San Diego State,Ted Tollner
Bishop Miller,,DB,,1999,San Diego State,Ted Tollner
Sheldon Pope,,DB,,1999,San Diego State,Ted Tollner
Tairou Smith,,DB,,1999,San Diego State,Ted Tollner
Jermaine Watkins,,DB,,1999,San Diego State,Ted Tollner
Justin Sisco,,P,,1999,San Diego State,Ted Tollner
Lon Sheriff,SO,QB,"155 Cmp, 290 Att, 2163 Yds, 6 TD",2000,San Diego State,Ted Tollner
Jack Hawley,SR,QB,"39 Cmp, 86 Att, 338 Yds, 1 TD",2000,San Diego State,Ted Tollner
Larry Ned,SR,RB,"139 Att, 357 Yds, 2.6 Avg",2000,San Diego State,Ted Tollner
James Truvillion,JR,RB,"66 Att, 255 Yds, 3.9 Avg",2000,San Diego State,Ted Tollner
Garric Simmons,SO,RB,"61 Att, 215 Yds, 3.5 Avg",2000,San Diego State,Ted Tollner
Jason Van,FR,RB,"25 Att, 113 Yds, 4.5 Avg",2000,San Diego State,Ted Tollner
Derrick Lewis,JR,WR,"31 Rec, 782 Yds, 25.2 Avg",2000,San Diego State,Ted Tollner
Sean Pierce,SR,WR,"19 Rec, 229 Yds, 12.1 Avg",2000,San Diego State,Ted Tollner
J.R. Tolver,SO,WR,"62 Rec, 808 Yds, 13.0 Avg",2000,San Diego State,Ted Tollner
Bill Hammett,SR,WR,"15 Rec, 149 Yds, 9.9 Avg",2000,San Diego State,Ted Tollner
Thomas Howard,JR,WR,"14 Rec, 155 Yds, 11.1 Avg",2000,San Diego State,Ted Tollner
Deric Martin,JR,WR,"3 Rec, 18 Yds, 6.0 Avg",2000,San Diego State,Ted Tollner
Craig Mitchell,JR,WR,,2000,San Diego State,Ted Tollner
Brian Gelt,JR,TE,"15 Rec, 112 Yds, 7.5 Avg",2000,San Diego State,Ted Tollner
Gray McNeill,SR,TE,"8 Rec, 48 Yds, 6.0 Avg",2000,San Diego State,Ted Tollner
Raleigh Fletcher,FR,TE,"4 Rec, 45 Yds, 11.3 Avg",2000,San Diego State,Ted Tollner
Brian Simnjamovski,SO,K,,2000,San Diego State,Ted Tollner
Nate Tandberg,SR,K,,2000,San Diego State,Ted Tollner
Jomar Butler,JR,LB,,2000,San Diego State,Ted Tollner
