Player,Class,Pos,Summary,Year,School,Coach
Kano Brown,,WR,"28 Rec, 399 Yds, 14.3 Avg",1989,New Mexico,Mike Sheppard
Derrick Washington,,WR,"2 Rec, 20 Yds, 10.0 Avg",1989,New Mexico,Mike Sheppard
Tony Kemp,,WR,"1 Rec, 38 Yds, 38.0 Avg",1989,New Mexico,Mike Sheppard
Jerone Williams,,TE,"16 Rec, 178 Yds, 11.1 Avg",1989,New Mexico,Mike Sheppard
Jay Schultz,,TE,"9 Rec, 113 Yds, 12.6 Avg",1989,New Mexico,Mike Sheppard
Mark Moores,,OL,,1989,New Mexico,Mike Sheppard
Steve Albrecht,,K,,1989,New Mexico,Mike Sheppard
David Margolis,,K,,1989,New Mexico,Mike Sheppard
Mike Good,,LB,,1989,New Mexico,Mike Sheppard
Nate Morris,,LB,,1989,New Mexico,Mike Sheppard
Donald Levingston,,DB,,1989,New Mexico,Mike Sheppard
Curtis Crews,,DB,,1989,New Mexico,Mike Sheppard
Brett Heber,,DB,,1989,New Mexico,Mike Sheppard
Karl Logan,,DB,,1989,New Mexico,Mike Sheppard
Jimmy Marshall,,DB,,1989,New Mexico,Mike Sheppard
Mike Thomas,,DB,,1989,New Mexico,Mike Sheppard
Jon Thompson,,DB,,1989,New Mexico,Mike Sheppard
Jeremy Leach,,QB,"180 Cmp, 380 Att, 2428 Yds, 12 TD",1990,New Mexico,Mike Sheppard
Marcus Goodloe,,QB,"57 Cmp, 128 Att, 793 Yds, 6 TD",1990,New Mexico,Mike Sheppard
Aaron Givens,,RB,"128 Att, 546 Yds, 4.3 Avg",1990,New Mexico,Mike Sheppard
Andre Wooten,,RB,"68 Att, 283 Yds, 4.2 Avg",1990,New Mexico,Mike Sheppard
Derek Coffman,,RB,"55 Att, 228 Yds, 4.1 Avg",1990,New Mexico,Mike Sheppard
Dion Morrow,,RB,"53 Att, 213 Yds, 4.0 Avg",1990,New Mexico,Mike Sheppard
Ralph Johnson,,RB,"3 Att, 9 Yds, 3.0 Avg",1990,New Mexico,Mike Sheppard
Mike Henderson,,WR,"55 Rec, 810 Yds, 14.7 Avg",1990,New Mexico,Mike Sheppard
Eric Morgan,,WR,"80 Rec, 1043 Yds, 13.0 Avg",1990,New Mexico,Mike Sheppard
Karnell Hollins,,WR,"5 Rec, 47 Yds, 9.4 Avg",1990,New Mexico,Mike Sheppard
Carl Winston,,WR,"42 Rec, 640 Yds, 15.2 Avg",1990,New Mexico,Mike Sheppard
Derrick Washington,,WR,"8 Rec, 101 Yds, 12.6 Avg",1990,New Mexico,Mike Sheppard
Manley Woods,,WR,"2 Rec, 38 Yds, 19.0 Avg",1990,New Mexico,Mike Sheppard
Jerone Williams,,TE,"30 Rec, 428 Yds, 14.3 Avg",1990,New Mexico,Mike Sheppard
Mark Moores,,OL,,1990,New Mexico,Mike Sheppard
David Margolis,,K,,1990,New Mexico,Mike Sheppard
Monte Cuba,,DL,,1990,New Mexico,Mike Sheppard
Mike Good,,LB,,1990,New Mexico,Mike Sheppard
Karl Logan,,LB,,1990,New Mexico,Mike Sheppard
Kim McCall,,LB,,1990,New Mexico,Mike Sheppard
Nate Morris,,LB,,1990,New Mexico,Mike Sheppard
